"model","term","estimate","std_error","z_value","odds_ratio","p_raw","p_fdr","significant_raw_0.05","significant_fdr_0.05"
"model1_participant_factors_cueing_interaction","(Intercept)",-3.2377474031443,0.327636503605231,-9.88213269131164,0.0392522150031673,4.97623704787369e-23,8.45960298138527e-22,TRUE,TRUE
"model1_participant_factors_cueing_interaction","age_logz",0.185964199436675,0.182816283461483,1.0172190130747,1.20437914215406,0.309049253159126,0.833309684672216,FALSE,FALSE
"model1_participant_factors_cueing_interaction","sleep_quality_logz",-0.0245755308500309,0.181343491498623,-0.13551923284888,0.975723988872854,0.892201358913731,0.974738619165132,FALSE,FALSE
"model1_participant_factors_cueing_interaction","lucid_dreams_freq_pw_logz",0.429364463759266,0.173866754601813,2.46950295208874,1.53628085106898,0.0135300902192873,0.115005766863942,TRUE,FALSE
"model1_participant_factors_cueing_interaction","lucid_attempts_freq_pw_logz",0.0483247637919451,0.180418953029796,0.267847490412852,1.04951144329969,0.788816713759622,0.974738619165132,FALSE,FALSE
"model1_participant_factors_cueing_interaction","time_asleep_logz",0.0494307515156057,0.213046075252792,0.232019066565545,1.05067283219437,0.816523204866542,0.974738619165132,FALSE,FALSE
"model1_participant_factors_cueing_interaction","wake_up_duration_logz",0.206718710563696,0.189212602096456,1.09252083779449,1.22963663933233,0.274604236503134,0.833309684672216,FALSE,FALSE
"model1_participant_factors_cueing_interaction","genderFemale",0.356640664009419,0.376201722171252,0.948003804849865,1.42852245808319,0.343127517217972,0.833309684672216,FALSE,FALSE
"model1_participant_factors_cueing_interaction","genderOther/Prefer Not to Say",0.38117873639175,0.72423952552892,0.526315842971109,1.4640092537575,0.59866877709386,0.974738619165132,FALSE,FALSE
"model1_participant_factors_cueing_interaction","age_logz:cued_night1",0.139450370599874,0.30095143697486,0.463365026602358,1.14964174827188,0.643102742711744,0.974738619165132,FALSE,FALSE
"model1_participant_factors_cueing_interaction","cued_night1:sleep_quality_logz",0.225236999419893,0.313846276257579,0.717666630000213,1.25261955112258,0.472962863535314,0.974738619165132,FALSE,FALSE
"model1_participant_factors_cueing_interaction","cued_night1:lucid_dreams_freq_pw_logz",0.088900777539848,0.267009613782284,0.332949725219769,1.09297220355503,0.739172233404646,0.974738619165132,FALSE,FALSE
"model1_participant_factors_cueing_interaction","cued_night1:lucid_attempts_freq_pw_logz",-0.0337084953248649,0.288932952357808,-0.116665458369459,0.966853305821147,0.907125163533073,0.974738619165132,FALSE,FALSE
"model1_participant_factors_cueing_interaction","cued_night1:time_asleep_logz",-0.436822701307692,0.298665535532361,-1.46258154804862,0.646085971454282,0.143581915305996,0.813630853400646,FALSE,FALSE
"model1_participant_factors_cueing_interaction","cued_night1:wake_up_duration_logz",0.330823688097923,0.291112644776542,1.13641126221729,1.39211432434493,0.255784484551366,0.833309684672216,FALSE,FALSE
"model1_participant_factors_cueing_interaction","cued_night1:genderFemale",-0.0530205387562961,0.511248148519747,-0.103708030845315,0.948360534136377,0.917401053331889,0.974738619165132,FALSE,FALSE
"model1_participant_factors_cueing_interaction","cued_night1:genderOther/Prefer Not to Say",-17.9107337508863,5904.53408684641,-0.00303338645987093,1.66520292530503e-08,0.997579711488408,0.997579711488408,FALSE,FALSE
